mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
1597.05,14.99,3.91,37006585,1449546,1173793,195.68652987709996,41360.362830132675,1.79608,379.62
1662.21,15.03,3.9,37014501,1450033,1175587,200.54401192235903,42387.041671844214,1.79608,379.62
1678.51,15.06,3.9,37015733,1449995,1175736,201.74492052956631,42640.86607023851,1.79608,379.62
1743.67,15.07,3.9,37017841,1449995,1175736,206.6218866935818,43671.66308105293,1.79608,379.62
1830.56,15.09,3.89,37017841,1451639,1183400,213.11980200392975,45045.064382840304,1.79608,379.62
1868.58,15.13,3.83,37043199,1451639,1183400,215.93936727713637,45641.00853288635,1.79608,379.62
1944.61,15.15,3.8,37043199,1452507,1183400,221.62151545592016,46841.989052478966,1.79608,379.62
1971.76,15.18,3.75,37052943,1452768,1183400,223.63266571182632,47267.06636537544,1.79608,379.62
1988.05,15.21,3.74,37053708,1453238,1181682,224.8297983906934,47520.092682439,1.79608,379.62
1993.48,15.22,3.74,37055351,1453528,1181453,225.2287872652847,47604.42308897565,1.79608,379.62
2004.34,15.22,3.75,37054337,1453313,1185414,226.04235816204803,47776.379674333366,1.79608,379.62
2009.78,15.23,3.75,37049722,1453252,1181459,226.44204027231797,47860.85660336808,1.79608,379.62
2009.78,15.24,3.74,37039401,1453052,1181832,226.43418833430792,47859.19701542803,1.79608,379.62
2004.34,15.25,3.74,37043926,1453213,1183373,226.01884474060265,47771.409870622454,1.79608,379.62
2004.34,15.27,3.76,37036957,1453164,1180563,226.0031718438035,47768.097242519645,1.79608,379.62
1988.05,15.28,3.78,37035222,1453021,1181578,224.77523372721404,47508.55987902822,1.79608,379.62
1960.9,15.29,3.79,37032005,1452954,1179026,222.7340072985413,47077.12565736061,1.79608,379.62
1950.04,15.29,3.81,37026544,1452365,1181455,221.9206338430578,46905.21080325019,1.79608,379.62
1933.75,15.31,3.81,37026544,1451254,1181455,220.68527167178172,46644.10428936449,1.79608,379.62
1912.02,15.31,3.81,37003588,1450508,1181455,219.0578886384644,46300.14013013555,1.79608,379.62
1895.73,15.31,3.89,37002511,1450370,1176544,217.8379130465298,46042.285728210125,1.79608,379.62
1868.58,15.31,3.91,36989961,1450370,1174893,215.8046203933054,45612.52839166775,1.79608,379.62
1863.15,15.3,3.91,36980815,1450370,1175614,215.40542929070224,45528.15524215869,1.79608,379.62
1857.72,15.3,3.95,36974579,1449357,1172089,214.9987566619977,45442.20079508016,1.79608,379.62
1852.29,15.29,3.95,36972898,1449368,1171793,214.5995237810408,45357.81881528591,1.79608,379.62
1852.29,15.29,3.96,36971302,1449254,1172366,214.5995237810408,45357.81881528591,1.79608,379.62
1841.43,15.29,3.96,36968596,1449293,1171967,213.78615032555737,45185.9039611755,1.79608,379.62
1835.99,15.28,3.96,36966107,1449192,1170307,213.38611257276472,45101.351863432,1.79608,379.62
1830.56,15.28,3.96,36965184,1449265,1171012,212.97941174500815,45015.391456193494,1.79608,379.62
1825.13,15.28,3.96,36964596,1449215,1167717,212.57271091725164,44929.43104895498,1.79608,379.62
1808.84,15.27,3.96,36960353,1449252,1169118,211.35993637963188,44673.0986639993,1.79608,379.62
1792.55,15.27,3.98,36959976,1449572,1169220,210.13979159338453,44415.20850111389,1.79608,379.62
1759.97,15.27,3.98,36959976,1449414,1162574,207.69950202088984,43899.42817534309,1.79608,379.62
1749.1,15.26,3.99,36959976,1449611,1169551,206.8924964549564,43728.8592402513,1.79608,379.62
1732.81,15.26,3.99,36949044,1449736,1161359,205.67230936279785,43470.96013557599,1.79608,379.62
1711.09,15.25,3.99,36947307,1449717,1169410,204.05246832290305,43128.59005430741,1.79608,379.62
1673.07,15.25,3.99,36942052,1449703,1164996,201.2045173206833,42526.64628818192,1.79608,379.62
1656.78,15.24,3.99,36940311,1449805,1164996,199.9912224280856,42270.2039208442,1.79608,379.62
1645.92,15.23,3.99,36940311,1449630,1164996,199.1846147324224,42099.71907973041,1.79608,379.62
1640.49,15.23,3.99,36930644,1449423,1166372,198.7778433899235,42013.743768475106,1.79608,379.62
1635.06,15.22,3.99,36927843,1449433,1165553,198.37795109420645,41929.22241458213,1.79608,379.62
1618.77,15.22,4.0,36927895,1449460,1165043,197.15759474906147,41671.28753654555,1.79608,379.62
1602.48,15.21,4.0,36928807,1449404,1173428,195.9440332866466,41414.788826932425,1.79608,379.62
1591.62,15.21,4.0,36926818,1449668,1165225,195.13043417616095,41242.82627831401,1.79608,379.62
1559.03,15.2,4.0,36925136,1449587,1170629,192.6955701395783,40728.1926954182,1.79608,379.62
1531.88,15.2,3.99,36921663,1449782,1164542,190.66150182416615,40298.27141468641,1.79608,379.62
1515.59,15.19,3.99,36916102,1449713,1164335,189.4476308932124,40041.70729571138,1.79608,379.62
1504.72,15.18,3.99,36916102,1449781,1164335,188.63976839544196,39870.95723925309,1.79608,379.62
1499.29,15.17,3.98,36915022,1449781,1162805,188.23945512523576,39786.34690806757,1.79608,379.62
1504.72,15.17,3.98,36915985,1449937,1163209,188.64631111770876,39872.34011096644,1.79608,379.62
