mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_ppm,co2_ppm
1282.07,14.25,7.24,37011764,1420862,1141066,2.2981,450.1
1325.51,14.27,7.29,37020158,1420639,1143109,2.2981,450.1
1417.83,14.27,7.33,37030514,1420639,1143109,2.2981,450.1
1499.29,14.42,7.37,37029592,1420639,1143109,2.2981,450.1
1580.75,14.47,7.37,37035954,1419637,1148761,2.2981,450.1
1662.21,14.54,7.37,37047906,1419659,1150411,2.2981,450.1
1732.81,14.58,7.49,37052844,1419073,1152631,2.2981,450.1
1792.55,14.58,7.53,37063404,1419241,1152631,2.2981,450.1
1835.99,14.67,7.54,37072678,1419161,1155304,2.2981,450.1
1884.87,14.72,7.57,37080019,1419458,1156935,2.2981,450.1
1912.02,14.77,7.58,37083658,1419233,1158173,2.2981,450.1
1977.19,14.78,7.59,37088326,1419304,1159098,2.2981,450.1
2020.64,14.83,7.62,37094686,1419174,1161105,2.2981,450.1
2031.5,14.88,7.62,37094686,1419671,1161760,2.2981,450.1
2102.1,14.91,7.66,37115179,1419671,1161760,2.2981,450.1
2156.4,14.91,7.68,37115179,1419284,1163947,2.2981,450.1
2150.97,15.0,7.7,37116077,1419554,1163947,2.2981,450.1
2140.11,15.02,7.7,37126170,1420255,1163947,2.2981,450.1
2140.11,15.04,7.7,37132412,1420958,1168037,2.2981,450.1
2172.69,15.06,7.7,37129876,1420958,1167805,2.2981,450.1
2188.99,15.08,7.69,37121383,1420305,1168154,2.2981,450.1
2183.56,15.1,7.69,37127428,1420642,1169034,2.2981,450.1
2199.85,15.12,7.69,37130482,1420771,1168973,2.2981,450.1
2227.0,15.14,7.69,37123805,1420220,1169859,2.2981,450.1
2216.14,15.16,7.77,37129357,1420220,1170925,2.2981,450.1
2205.28,15.19,7.81,37132991,1420397,1170925,2.2981,450.1
2183.56,15.2,7.81,37136104,1420761,1171778,2.2981,450.1
2140.11,15.21,7.81,37132921,1420621,1171663,2.2981,450.1
2080.37,15.22,7.82,37136462,1421420,1172338,2.2981,450.1
2031.5,15.23,7.82,37126214,1421247,1171189,2.2981,450.1
1971.76,15.23,7.89,37109925,1420823,1169796,2.2981,450.1
1933.75,15.23,7.98,37101425,1420554,1168703,2.2981,450.1
1879.44,15.22,8.03,37101425,1419650,1166992,2.2981,450.1
1835.99,15.22,8.11,37067618,1419335,1166464,2.2981,450.1
1803.41,15.22,8.14,37063732,1419246,1165432,2.2981,450.1
1754.53,15.21,8.15,37063732,1418842,1165432,2.2981,450.1
1727.38,15.2,8.16,37050849,1418706,1164142,2.2981,450.1
1683.94,15.2,8.16,37042990,1418706,1162768,2.2981,450.1
1640.49,15.2,8.16,37036509,1418706,1162768,2.2981,450.1
1591.62,15.2,8.15,37029273,1418194,1160761,2.2981,450.1
1564.46,15.18,8.15,37025924,1418344,1161146,2.2981,450.1
1542.74,15.18,8.14,37021560,1418174,1160771,2.2981,450.1
1526.45,15.18,8.13,37021777,1418169,1160948,2.2981,450.1
1493.86,15.18,8.13,37021589,1418132,1161189,2.2981,450.1
1444.99,15.17,8.13,37021589,1418258,1160219,2.2981,450.1
1423.26,15.17,8.11,37014352,1418160,1160101,2.2981,450.1
1385.25,15.17,8.09,37013061,1418083,1161216,2.2981,450.1
1363.53,15.17,8.08,37013354,1418083,1160245,2.2981,450.1
1325.51,15.17,8.07,37013354,1418041,1160182,2.2981,450.1
1309.22,15.17,8.08,37010236,1418033,1160182,2.2981,450.1
1282.07,15.17,8.08,37010526,1417957,1161203,2.2981,450.1
1260.35,15.17,8.09,37009969,1417966,1160695,2.2981,450.1
1238.62,15.17,8.09,37010664,1417953,1160295,2.2981,450.1
1303.79,15.17,8.09,37009528,1417953,1160949,2.2981,450.1
1320.08,15.17,8.13,37006192,1417079,1160856,2.2981,450.1
1320.08,15.18,8.17,36991529,1415258,1160759,2.2981,450.1
1428.7,15.19,8.2,37013479,1415995,1162676,2.2981,450.1
1472.14,15.19,8.28,37025309,1413889,1165066,2.2981,450.1
1493.86,15.23,8.33,37043528,1414408,1167054,2.2981,450.1
1510.16,15.24,8.33,37052775,1414577,1167054,2.2981,450.1
1618.77,15.27,8.33,37052775,1413934,1167054,2.2981,450.1
1656.78,15.29,8.38,37054938,1413173,1170505,2.2981,450.1
1711.09,15.31,8.42,37062900,1413173,1170505,2.2981,450.1
1770.83,15.33,8.42,37075025,1412074,1170505,2.2981,450.1
1830.56,15.35,8.42,37081999,1411633,1175824,2.2981,450.1
1928.32,15.38,8.48,37081999,1410717,1177762,2.2981,450.1
