mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3
1998.91,13.92,4.08,36925701,1435865,1119775,248.25195465078943,54996.03590728652
1998.91,13.94,4.09,36924479,1435621,1125791,248.23466028632876,54992.20463236177
1998.91,13.96,4.1,36925780,1435553,1124913,248.217368331309,54988.373891208044
1998.91,13.98,4.12,36925910,1435401,1126921,248.2000787852266,54984.54368371378
1998.91,13.99,4.12,36926587,1435138,1129143,248.1914349153797,54982.62878005412
1998.91,14.0,4.12,36926913,1435222,1130110,248.18279164757834,54980.71400976751
1998.91,14.0,4.13,36926913,1435185,1127866,248.18279164757834,54980.71400976751
1998.91,14.02,4.13,36926913,1435114,1128628,248.16550691786094,54976.88486925772
1993.48,14.02,4.14,36929779,1434798,1134535,247.71810354174278,54877.77019290947
1993.48,14.06,4.15,36929779,1434982,1129865,247.68360361436677,54870.12731554546
1993.48,14.07,4.16,36932348,1434887,1135410,247.67498013398188,54868.216928827416
1993.48,14.08,4.17,36933040,1434812,1130333,247.6663572540552,54866.30667513078
1993.48,14.09,4.17,36933658,1434900,1131178,247.657734974524,54864.39655444162
1993.48,14.09,4.17,36935057,1434590,1135306,247.657734974524,54864.39655444162
1993.48,14.1,4.18,36934808,1434574,1130320,247.64911329532558,54862.486566746076
1993.48,14.11,4.18,36934857,1434640,1131015,247.64049221639726,54860.57671203026
1993.48,14.11,4.2,36937182,1434541,1131371,247.64049221639726,54860.57671203026
1993.48,14.11,4.21,36938098,1434605,1131425,247.64049221639726,54860.57671203026
1993.48,14.15,4.21,36938098,1434507,1131425,247.60601390213117,54852.93862268644
1988.05,14.15,4.22,36941640,1434440,1129991,247.15881297097962,54753.86879460803
1988.05,14.17,4.22,36942920,1434481,1133842,247.14160854295707,54750.057443585145
1998.91,14.19,4.23,36943557,1434400,1128785,248.0186838644189,54944.35869668247
2015.21,14.2,4.24,36942823,1433947,1135098,249.35224540491976,55239.78677687273
2015.21,14.21,4.25,36941668,1433779,1134933,249.34356805784972,55237.86445689859
1998.91,14.22,4.26,36950457,1434227,1134933,247.99279194627871,54938.62277866423
1971.76,14.24,4.26,36959325,1434227,1134933,245.74022924946203,54439.6054833853
1977.19,14.25,4.26,36955814,1434502,1137058,246.17872411803322,54536.746630052294
1988.05,14.26,4.28,36954082,1434359,1137058,247.0642182476686,54732.9129281893
2020.64,14.26,4.28,36952723,1433946,1144752,249.74722015456507,55327.286774786226
2015.21,14.27,4.29,36952444,1433339,1139477,249.29151665543,55226.33334609414
1993.48,14.29,4.31,36961421,1434090,1139477,247.48541537045045,54826.222050855176
1998.91,14.31,4.3,36965914,1434373,1131476,247.91514861755417,54921.422207975855
1998.91,14.32,4.31,36964954,1434343,1139390,247.90652458205074,54919.51169828066
1993.48,14.32,4.32,36965323,1434179,1137886,247.45958811034987,54820.5004567357
1998.91,14.34,4.32,36968820,1434046,1140420,247.88927831090518,54915.691077619194
1998.91,14.35,4.32,36969238,1434048,1146140,247.88065607513778,54913.78096662518
1993.48,14.36,4.33,36969994,1434032,1147479,247.4251601477593,54812.87352195685
1993.48,14.36,4.33,36970871,1434032,1147698,247.4251601477593,54812.87352195685
1993.48,14.39,4.34,36973759,1433999,1147698,247.39934546178716,54807.154713423566
1988.05,14.39,4.34,36975285,1433934,1141731,246.95251779426314,54708.16757560994
1993.48,14.41,4.36,36978059,1434069,1141350,247.38213866352163,54803.3428373133
1993.48,14.41,4.36,36978059,1434025,1143292,247.38213866352163,54803.3428373133
1993.48,14.41,4.36,36982139,1433997,1143371,247.38213866352163,54803.3428373133
1988.05,14.44,4.36,36987142,1434292,1141671,246.90958297076543,54698.65608919255
1993.48,14.44,4.38,36987467,1434060,1144991,247.35633295344857,54797.62601723916
1988.05,14.44,4.39,36989196,1434032,1150668,246.90958297076543,54698.65608919255
2004.34,14.47,4.39,36987727,1433943,1145766,248.22393939615452,54989.82959985977
2004.34,14.49,4.39,36990713,1433819,1149683,248.20668004840067,54986.00608229616
2004.34,14.5,4.4,36992139,1433880,1146918,248.19805127454188,54984.09452289821
2004.34,14.5,4.4,36996608,1434046,1146894,248.19805127454188,54984.09452289821
1998.91,14.51,4.41,36997016,1433919,1149271,247.74278183133603,54883.2372519806
2004.34,14.52,4.41,37001905,1434241,1148151,248.1807955265477,54980.27180280068
