elapsed_time,mpx5500_pressure_hpa,rh_temp_c,humidity_pct,k96_pressure_hpa,k96_pressure_filtered_hpa,ntc0_temp_c,ntc0_temp_filtered_c,ntc1_temp_c,ntc1_temp_filtered_c,lpl_signal,mpl_signal,spl_signal,lpl_signal_filtered,mpl_signal_filtered,spl_signal_filtered,mpl_conc,lpl_conc,spl_conc
00:00:02,38.45,12.76,5.52,1059.30,0.00,13.0281,13.0281,12.8829,12.8829,0,1437789,1098660,36821676.0000,1437789.0000,1098660.0000,-32768,13769,1842
00:00:03,38.45,12.79,5.54,1058.70,0.00,13.0425,13.0425,12.8889,12.8829,0,1437411,1097918,36827472.0000,1437411.0000,1097918.0000,-32768,13769,1852
00:00:05,33.02,12.82,5.59,1058.10,0.00,13.0577,13.0502,12.9020,12.8954,36827292,1437317,1098034,36827464.0000,1437408.0000,1097921.6250,-32768,13769,1851
00:00:08,33.02,12.84,5.60,1058.10,0.00,13.0577,13.0522,12.9020,12.8971,36833378,1437317,1098034,36827464.0000,1437408.0000,1098078.6250,-32768,13769,1850
00:00:10,33.02,12.84,5.69,1056.20,0.00,13.1058,13.0562,12.9450,12.9008,36839506,1436540,1100044,36828652.0000,1437326.7500,1098078.6250,-32768,13769,1846
00:00:12,33.02,12.84,5.71,1055.50,0.00,13.1229,13.0600,12.9607,12.9042,36842549,1436540,1100044,36829932.0000,1437326.7500,1098400.0000,-32768,13769,1843
00:00:14,33.02,13.03,5.77,1054.60,0.00,13.1499,13.0600,12.9851,12.9042,36850097,1435765,1103146,36831528.0000,1437098.5000,1098777.7500,-32768,13769,1836
00:00:17,27.59,13.06,5.82,1054.60,0.00,13.1499,13.0799,12.9851,12.9221,36854701,1435765,1104473,36834232.0000,1436886.2500,1099415.1250,-32768,13769,1828
00:00:18,27.59,13.13,5.89,1052.80,0.00,13.2057,13.0873,13.0367,12.9289,36858929,1434831,1104473,36835844.0000,1436754.1250,1099746.1250,-32768,13769,1823
00:00:21,33.02,13.17,5.92,1052.80,0.00,13.2247,13.0955,13.0367,12.9403,36858929,1434293,1105776,36838220.0000,1436547.8750,1100283.5000,-32768,13769,1815
00:00:22,33.02,13.22,5.98,1051.90,0.00,13.2545,13.1090,13.0822,12.9487,36864275,1434113,1105776,36839032.0000,1436471.8750,1100661.7500,-32768,13769,1809
00:00:24,33.02,13.23,6.00,1051.90,0.00,13.2743,13.1188,13.0822,12.9487,36870140,1434113,1105776,36841632.0000,1436230.1250,1101104.2500,-32768,13769,1802
00:00:27,33.02,13.23,6.07,1050.90,0.00,13.3045,13.1188,13.1382,12.9776,36873419,1433311,1108864,36844432.0000,1435978.5000,1101780.1250,-32768,13769,1791
00:00:29,27.59,13.23,6.11,1050.40,0.00,13.3045,13.1520,13.1382,12.9883,36874825,1432782,1109909,36846276.0000,1435695.0000,1102513.1250,-32768,13769,1780
00:00:30,22.16,13.36,6.15,1049.80,0.00,13.3448,13.1580,13.1666,12.9939,36874825,1432779,1110668,36848224.0000,1435603.8750,1102768.0000,-32768,13769,1772
00:00:32,27.59,13.40,6.19,1049.00,0.00,13.3747,13.1767,13.1957,12.9939,36882165,1432397,1111367,36850296.0000,1435312.1250,1103553.8750,-32768,13769,1764
00:00:35,27.59,13.41,6.22,1049.00,0.00,13.3747,13.1965,13.2242,13.0297,36883550,1432000,1111367,36850296.0000,1435112.0000,1104098.0000,-32768,13769,1751
00:00:35,27.59,13.41,6.28,1047.70,0.00,13.4262,13.2103,13.2437,13.0426,36887007,1431776,1114055,36855356.0000,1434908.8750,1104690.5000,-32768,13769,1746
00:00:37,27.59,13.48,6.31,1047.50,0.00,13.4362,13.2173,13.2534,13.0491,36888314,1431584,1114051,36856384.0000,1434908.8750,1105262.6250,-32768,13769,1738
00:00:39,27.59,13.51,6.34,1047.00,0.00,13.4569,13.2317,13.2731,13.0626,36891087,1431399,1115096,36856384.0000,1434491.6250,1105866.6250,-32768,13769,1728
00:00:42,27.59,13.54,6.38,1046.50,0.00,13.4773,13.2317,13.3021,13.0626,36895135,1431399,1115475,36856384.0000,1434061.5000,1106995.3750,-32768,13769,1710
00:00:43,282.83,13.58,6.44,1046.80,0.00,13.5220,13.2771,13.3021,13.1051,36895135,1429347,1116428,36865664.0000,1433807.8750,1107583.3750,-32768,13769,1701
00:00:44,320.84,13.63,6.59,3276.70,0.00,13.5862,13.2951,13.3886,13.1217,36881148,1427300,1117197,36866148.0000,1433604.5000,1107883.7500,-32768,13769,1696
00:00:46,331.70,13.66,6.66,3276.70,0.00,13.6179,13.3052,13.4142,13.1309,36901163,1426401,1118423,36867244.0000,1433379.3750,1108213.1250,-32768,13769,1690
00:00:47,326.27,13.70,6.75,3276.70,0.00,13.6625,13.3265,13.4542,13.1502,36934186,1426728,1120494,36871104.0000,1432964.8750,1108939.5000,-32768,13769,1682
00:00:49,445.75,13.72,6.77,3276.70,0.00,13.6906,13.3485,13.4840,13.1703,36945274,1427458,1124114,36875488.0000,1432964.8750,1110282.5000,-32768,13769,1670
00:00:52,619.53,13.77,6.85,3276.70,0.00,13.6906,13.3952,13.4840,13.2138,36928278,1424260,1124921,36882676.0000,1431806.1250,1111998.7500,-32768,13769,1658
00:00:54,771.59,13.83,7.01,3276.70,0.00,13.8013,13.3952,13.6186,13.2138,36944032,1422633,1127432,36887792.0000,1431020.7500,1112918.8750,-32768,13769,1649
00:00:56,863.91,13.91,7.10,3276.70,0.00,13.8833,13.4486,13.6687,13.2138,36949479,1422184,1128584,36889720.0000,1430744.6250,1113926.5000,-32768,13769,1649
00:00:58,967.09,13.96,7.13,3276.70,0.00,13.9328,13.4776,13.6687,13.3046,36949479,1421239,1128584,36889720.0000,1430744.6250,1113926.5000,-32768,13769,1619
00:01:01,1059.41,13.96,7.15,3276.70,0.00,13.9328,13.5533,13.6687,13.3619,36985333,1421529,1134712,36906008.0000,1428915.3750,1117286.3750,-32768,13769,1602
00:01:01,1097.43,14.10,7.20,3276.70,0.00,14.0503,13.5688,13.8329,13.3766,36989641,1421456,1135722,36911304.0000,1428451.3750,1118445.8750,-32768,13769,1597
00:01:03,1162.59,14.12,7.20,3276.70,0.00,14.0872,13.6001,13.8698,13.3766,36989641,1421124,1135722,36916584.0000,1427996.0000,1119643.6250,-32768,13769,1587
00:01:06,1227.76,14.19,7.24,3276.70,0.00,14.1231,13.6317,13.8698,13.4516,36989641,1420960,1135722,36924712.0000,1427355.7500,1121449.6250,-32768,13769,1572
00:01:07,1282.07,14.25,7.24,3276.70,0.00,14.1737,13.6794,13.9554,13.4820,37011764,1420862,1141066,36930144.0000,1426954.5000,1122679.1250,-32768,13769,1561
00:01:09,1325.51,14.27,7.29,3276.70,0.00,14.1737,13.7272,13.9554,13.5279,37020158,1420639,1143109,36935584.0000,1426566.8750,1123918.5000,-32768,13769,1545
00:01:13,1417.83,14.27,7.33,3276.70,0.00,14.2631,13.7272,14.0451,13.5279,37030514,1420639,1143109,36946708.0000,1426566.8750,1126964.8750,-32768,13769,1525
00:01:16,1499.29,14.42,7.37,3276.70,0.00,14.3186,13.7272,14.1004,13.5279,37029592,1420639,1143109,36959472.0000,1425123.0000,1129364.0000,-32768,13769,1505
00:01:19,1580.75,14.47,7.37,3276.70,0.00,14.3186,13.8990,14.1004,13.6939,37035954,1419637,1148761,36964184.0000,1425123.0000,1131130.0000,-32768,13769,1505
00:01:21,1662.21,14.54,7.37,3276.70,0.00,14.4293,13.9457,14.2069,13.6939,37047906,1419659,1150411,36971440.0000,1424330.5000,1132285.1250,-32768,13769,1505
00:01:23,1732.81,14.58,7.49,3276.70,0.00,14.4627,13.9457,14.2392,13.6939,37052844,1419073,1152631,36978568.0000,1423860.2500,1134074.7500,-32768,13769,1468
00:01:25,1792.55,14.58,7.53,3276.70,0.00,14.5098,14.0239,14.2851,13.8148,37063404,1419241,1152631,36986180.0000,1423434.7500,1135810.7500,-32768,13769,1455
00:01:27,1835.99,14.67,7.54,3276.70,0.00,14.5098,14.0708,14.3282,13.8148,37072678,1419161,1155304,36991352.0000,1423168.7500,1136993.6250,-32768,13769,1440
00:01:29,1884.87,14.72,7.57,3276.70,0.00,14.5802,14.1017,14.3545,13.8902,37080019,1419458,1156935,36996692.0000,1423168.7500,1138800.2500,-32768,13769,1431
00:01:30,1912.02,14.77,7.58,3276.70,0.00,14.6061,14.1323,14.3805,13.8902,37083658,1419233,1158173,37001980.0000,1422712.6250,1139977.2500,-32768,13769,1423
00:01:33,1977.19,14.78,7.59,3276.70,0.00,14.6320,14.1323,14.4195,13.8902,37088326,1419304,1159098,37009728.0000,1422404.2500,1141125.5000,-32768,13769,1415
00:01:35,2020.64,14.83,7.62,3276.70,0.00,14.6708,14.1323,14.4564,13.8902,37094686,1419174,1161105,37017192.0000,1422110.6250,1142883.6250,-32768,13769,1398
00:01:37,2031.50,14.88,7.62,3276.70,0.00,14.7050,14.2518,14.4789,13.8902,37094686,1419671,1161760,37024964.0000,1421873.6250,1144560.8750,-32768,13769,1389
00:01:40,2102.10,14.91,7.66,3276.70,0.00,14.7050,14.2947,14.4789,14.0921,37115179,1419671,1161760,37035360.0000,1421646.7500,1146792.2500,-32768,13769,1374
00:01:43,2156.40,14.91,7.68,3276.70,0.00,14.7683,14.2947,14.4789,14.1329,37115179,1419284,1163947,37039816.0000,1421507.7500,1148349.2500,-32768,13769,1363
00:01:45,2150.97,15.00,7.70,3276.70,0.00,14.8120,14.3914,14.5850,14.1731,37116077,1419554,1163947,37046396.0000,1421309.8750,1149337.1250,-32768,13769,1353
00:01:46,2140.11,15.02,7.70,3276.70,0.00,14.8271,14.4180,14.6000,14.1992,37126170,1420255,1163947,37053576.0000,1421216.7500,1150910.7500,-32768,13769,1345
00:01:48,2140.11,15.04,7.70,3276.70,0.00,14.8371,14.4436,14.6115,14.1992,37132412,1420958,1168037,37056040.0000,1421208.7500,1151446.0000,-32768,13769,1345
00:01:50,2172.69,15.06,7.70,3276.70,0.00,14.8470,14.4682,14.6288,14.2605,37129876,1420958,1167805,37062896.0000,1421191.0000,1152908.5000,-32768,13769,1332
00:01:52,2188.99,15.08,7.69,3276.70,0.00,14.8589,14.4682,14.6434,14.2605,37121383,1420305,1168154,37062896.0000,1421191.0000,1154289.7500,-32768,13769,1323
00:01:54,2183.56,15.10,7.69,3276.70,0.00,14.8864,14.5379,14.6638,14.3177,37127428,1420642,1169034,37071820.0000,1421081.5000,1155185.0000,-32768,13769,1323
00:01:57,2199.85,15.12,7.69,3276.70,0.00,14.8864,14.5598,14.6746,14.3394,37130482,1420771,1168973,37071820.0000,1421054.5000,1156438.1250,-32768,13769,1308
00:01:59,2227.00,15.14,7.69,3276.70,0.00,14.8864,14.5913,14.6931,14.3811,37123805,1420220,1169859,37071820.0000,1421054.5000,1157670.0000,-32768,13769,1300
00:02:02,2216.14,15.16,7.77,3276.70,0.00,14.9349,14.5913,14.7131,14.3811,37129357,1420220,1170925,37087184.0000,1420907.1250,1157670.0000,-32768,13769,1290
00:02:04,2205.28,15.19,7.81,3276.70,0.00,14.9509,14.6513,14.7294,14.4306,37132991,1420397,1170925,37090008.0000,1420878.1250,1159957.5000,-32768,13769,1286
00:02:06,2183.56,15.20,7.81,3276.70,0.00,14.9580,14.6513,14.7393,14.4306,37136104,1420761,1171778,37094228.0000,1420868.6250,1161004.3750,-32768,13769,1286
00:02:08,2140.11,15.21,7.81,3276.70,0.00,14.9651,14.7050,14.7440,14.4842,37132921,1420621,1171663,37096632.0000,1420853.3750,1161004.3750,-32768,13769,1273
