elapsed_time,mpx5500_pressure_hpa,rh_temp_c,humidity_pct,k96_pressure_hpa,k96_pressure_filtered_hpa,ntc0_temp_c,ntc0_temp_filtered_c,ntc1_temp_c,ntc1_temp_filtered_c,lpl_signal,mpl_signal,spl_signal,lpl_signal_filtered,mpl_signal_filtered,spl_signal_filtered,mpl_conc,lpl_conc,spl_conc
00:00:03,-15.86,23.99,7.13,0.00,0.00,0.0000,23.9508,0.0000,23.7277,38161623,1445530,1606283,38143696.0000,1449313.2500,1602402.7500,-32768,5234,3
00:00:04,-15.86,24.01,7.21,1003.10,0.00,24.0087,23.9542,23.7812,23.7294,38161149,1445207,1606458,38144240.0000,1449184.8750,1602529.5000,-32768,5234,3
00:00:05,-15.86,24.02,7.27,1003.20,0.00,24.0119,23.9560,23.7840,23.7311,38161639,1444884,1606207,38144784.0000,1449050.5000,1602644.3750,-32768,5234,2
00:00:09,-10.43,24.02,7.34,1003.30,0.00,24.0209,23.9560,23.7929,23.7311,38163852,1444884,1606207,38147504.0000,1448275.8750,1603334.7500,-32768,5234,2
00:00:10,11.30,24.05,7.44,1003.40,0.00,24.0300,23.9675,23.8019,23.7311,38164932,1442782,1606207,38148544.0000,1447922.8750,1603597.5000,-32768,5234,1
00:00:14,152.49,24.05,7.61,1015.00,0.00,24.0539,23.9675,23.8341,23.7311,38156441,1436308,1607868,38149040.0000,1447083.2500,1603597.5000,-32768,5234,0
00:00:16,185.08,24.05,8.51,3276.70,0.00,24.0539,23.9675,23.8682,23.7608,38156441,1436308,1610371,38150388.0000,1444912.0000,1603597.5000,-32768,5234,-1
00:00:18,228.52,24.09,9.75,3276.70,0.00,24.1295,23.9960,23.8918,23.7684,38160226,1419765,1611615,38150388.0000,1443237.6250,1605054.8750,-32768,5234,-1
00:00:20,337.13,24.09,10.67,3276.70,0.00,24.1647,24.0102,23.8918,23.7816,38160101,1406469,1612564,38151580.0000,1441123.0000,1605506.1250,-32768,5234,-2
00:00:22,391.44,24.08,10.67,3276.70,0.00,24.1647,24.0262,23.8918,23.7966,38157019,1393846,1614341,38152092.0000,1437171.0000,1606253.3750,-32768,5234,-3
00:00:24,429.46,24.08,13.01,3276.70,0.00,24.2070,24.0262,23.8918,23.8073,38157019,1382359,1616596,38151996.0000,1432531.8750,1607095.2500,-32768,5234,-4
00:00:25,489.19,24.07,13.93,3276.70,0.00,24.2266,24.0495,23.9948,23.8185,38150392,1376587,1616596,38151948.0000,1430783.6250,1607420.2500,-32768,5234,-5
00:00:27,521.78,24.06,14.73,3276.70,0.00,24.2528,24.0617,24.0119,23.8302,38145206,1368057,1616405,38151680.0000,1427047.7500,1608003.2500,-32768,5234,-6
00:00:29,597.81,24.06,15.57,3276.70,0.00,24.2605,24.0742,24.0279,23.8302,38139455,1368057,1616405,38150672.0000,1420976.6250,1608886.7500,-32768,5234,-7
00:00:30,576.08,24.05,16.75,3276.70,0.00,24.2829,24.0868,24.0431,23.8541,38136880,1353510,1618228,38150240.0000,1418868.2500,1609178.6250,-32768,5234,-8
00:00:31,603.24,24.04,17.12,3276.70,0.00,24.2901,24.0931,24.0502,23.8602,38133263,1350073,1618031,38149708.0000,1416718.5000,1609455.2500,-32768,5234,-8
00:00:32,652.11,24.04,17.52,3276.70,0.00,24.2971,24.0931,24.0502,23.8725,38127418,1342662,1618897,38148544.0000,1412274.7500,1610032.1250,-32768,5234,-9
00:00:34,711.85,24.03,18.24,3276.70,0.00,24.3159,24.1185,24.0761,23.8848,38125593,1337029,1619343,38147108.0000,1407728.2500,1610597.2500,-32768,5234,-9
00:00:36,787.88,24.02,18.87,3276.70,0.00,24.3224,24.1249,24.0761,23.8971,38122025,1331082,1620620,38147108.0000,1407728.2500,1611494.5000,-32768,5234,-11
00:00:38,836.75,24.02,19.46,3276.70,0.00,24.3224,24.1249,24.1004,23.8971,38114842,1321873,1621390,38143200.0000,1407728.2500,1612367.1250,-32768,5234,-13
00:00:40,874.77,24.01,20.49,3276.70,0.00,24.3224,24.1686,24.1004,23.9335,38106571,1313455,1621076,38140332.0000,1388738.2500,1612902.5000,-32768,5234,-14
00:00:42,896.49,24.00,21.39,3276.70,0.00,24.3637,24.1804,24.1004,23.9335,38107259,1307282,1622175,38137392.0000,1381543.5000,1613722.2500,-32768,5234,-15
00:00:44,961.66,23.99,21.96,3276.70,0.00,24.3710,24.1920,24.1344,23.9335,38107797,1304583,1621659,38136464.0000,1381543.5000,1614212.6250,-32768,5234,-16
00:00:47,1005.10,23.99,22.82,3276.70,0.00,24.3710,24.2088,24.1446,23.9734,38101464,1297425,1621623,38136464.0000,1381543.5000,1614212.6250,-32768,5234,-17
00:00:49,1070.27,23.97,23.66,3276.70,0.00,24.3905,24.2250,24.1537,23.9895,38100622,1291162,1622106,38130368.0000,1381543.5000,1615533.5000,-32768,5234,-18
00:00:50,1048.55,23.96,23.66,3276.70,0.00,24.3961,24.2354,24.1607,23.9998,38093138,1288276,1621733,38128136.0000,1360068.5000,1615727.2500,-32768,5234,-18
00:00:53,1168.02,23.96,23.66,3276.70,0.00,24.4004,24.2354,24.1670,23.9998,38085625,1281320,1621954,38124472.0000,1353150.8750,1616293.8750,-32768,5234,-19
00:00:55,1238.62,23.95,25.72,3276.70,0.00,24.4033,24.2597,24.1708,24.0243,38085625,1281320,1621954,38124472.0000,1343951.5000,1616932.8750,-32768,5234,-20
00:00:57,1216.90,23.94,26.38,3276.70,0.00,24.4072,24.2770,24.1708,24.0243,38083511,1269100,1622367,38117252.0000,1339408.5000,1617288.0000,-32768,5234,-20
00:00:59,1309.22,23.93,26.84,3276.70,0.00,24.4072,24.2851,24.1708,24.0545,38076249,1264372,1621917,38113644.0000,1332736.6250,1617671.1250,-32768,5234,-21
00:01:02,1325.51,23.92,27.51,3276.70,0.00,24.4072,24.2964,24.1708,24.0660,38071076,1258851,1621544,38110132.0000,1326174.8750,1618023.1250,-32768,5234,-22
00:01:05,1374.39,23.92,28.34,3276.70,0.00,24.4072,24.3068,24.1708,24.0766,38071076,1252157,1621544,38104720.0000,1317635.8750,1618393.0000,-32768,5234,-22
00:01:07,1417.83,23.89,28.94,3276.70,0.00,24.4114,24.3191,24.1842,24.0863,38057157,1249208,1621544,38100180.0000,1311413.0000,1618393.0000,-32768,5234,-22
00:01:09,1450.42,23.89,29.57,3276.70,0.00,24.4100,24.3247,24.1831,24.0923,38054967,1246031,1619671,38098768.0000,1311413.0000,1618393.0000,-32768,5234,-23
00:01:10,1483.00,23.87,29.95,3276.70,0.00,24.4075,24.3298,24.1808,24.0977,38058189,1242848,1620879,38096316.0000,1305321.3750,1618657.5000,-32768,5234,-23
00:01:11,1493.86,23.87,30.09,3276.70,0.00,24.4061,24.3322,24.1798,24.1002,38048621,1240031,1618854,38093604.0000,1301346.1250,1618701.8750,-32768,5234,-23
