elapsed_time,mpx5500_pressure_hpa,rh_temp_c,humidity_pct,k96_pressure_hpa,k96_pressure_filtered_hpa,ntc0_temp_c,ntc0_temp_filtered_c,ntc1_temp_c,ntc1_temp_filtered_c,lpl_signal,mpl_signal,spl_signal,lpl_signal_filtered,mpl_signal_filtered,spl_signal_filtered,mpl_conc,lpl_conc,spl_conc
00:00:03,250.24,12.48,3.40,3276.70,0.00,12.4236,12.1437,0.0000,11.9432,36670192,0,1075560,36635092.0000,1438060.1250,0.0000,-32768,-32768,2303
00:00:04,244.81,12.48,3.41,3276.70,0.00,12.4551,12.1711,12.2434,11.9613,36670695,1437199,1075394,36638404.0000,1437978.8750,1064650.3750,-32768,-32768,2289
00:00:06,239.38,12.51,3.41,3276.70,0.00,12.4551,12.1987,12.2742,11.9887,36674686,1436946,1075338,36640624.0000,1437922.1250,1065304.5000,-32768,-32768,2277
00:00:08,239.38,12.55,3.44,3276.70,0.00,12.4964,12.2080,12.2844,11.9979,36676602,1437004,1075909,36642888.0000,1437867.1250,1065970.7500,-32768,-32768,2264
00:00:10,233.95,12.56,3.44,3276.70,0.00,12.5166,12.2266,12.2844,12.0258,36676602,1437092,1077161,36645188.0000,1437791.7500,1066923.0000,-32768,-32768,2244
00:00:11,233.95,12.58,3.45,3276.70,0.00,12.5377,12.2454,12.3251,12.0351,36680994,1436901,1076749,36647392.0000,1437763.8750,1067230.1250,-32768,-32768,2238
00:00:12,375.15,12.60,3.46,3276.70,0.00,12.5579,12.2643,12.3457,12.0539,36684112,1436833,1078576,36648540.0000,1437734.8750,1067584.6250,-32768,-32768,2224
00:00:14,684.70,12.62,3.46,3276.70,0.00,12.5579,12.2963,12.4273,12.0851,36684112,1434813,1078224,36651536.0000,1437550.1250,1068576.3750,-32768,-32768,2213
00:00:16,771.59,12.67,3.46,3276.70,0.00,12.7261,12.3217,12.4870,12.1089,36731404,1436082,1081791,36656068.0000,1437550.1250,1068576.3750,-32768,-32768,2192
00:00:19,907.35,12.72,3.46,3276.70,0.00,12.7261,12.3634,12.4870,12.1480,36753465,1436320,1086529,36664664.0000,1437364.8750,1071243.5000,-32768,-32768,2169
00:00:22,1015.97,12.79,3.58,3276.70,0.00,12.7261,12.4077,12.4870,12.1899,36773794,1436543,1088464,36673392.0000,1437364.8750,1071243.5000,-32768,-32768,2135
00:00:23,1075.70,12.87,3.62,3276.70,0.00,12.9057,12.4377,12.6680,12.2333,36786314,1436714,1091927,36683508.0000,1437234.0000,1073936.8750,-32768,-32768,2135
00:00:25,1102.86,12.87,3.67,3276.70,0.00,12.9637,12.4837,12.7277,12.2631,36782665,1435970,1092004,36689472.0000,1437153.1250,1075040.2500,-32768,-32768,2107
00:00:28,1238.62,12.95,3.67,3276.70,0.00,12.9807,12.4837,12.7277,12.2932,36782665,1436944,1095085,36699520.0000,1437153.1250,1075040.2500,-32768,-32768,2069
00:00:30,1292.93,13.03,3.71,3276.70,0.00,13.0504,12.4837,12.8338,12.2932,36803003,1436944,1095085,36712324.0000,1436995.0000,1079074.7500,-32768,-32768,2044
00:00:32,1363.53,13.09,3.71,3276.70,0.00,13.1013,12.6092,12.8671,12.3855,36816845,1436535,1098684,36718944.0000,1436959.7500,1080262.2500,-32768,-32768,2028
00:00:34,1444.99,13.12,3.76,3276.70,0.00,13.1013,12.6569,12.8671,12.4479,36826915,1436006,1099876,36728748.0000,1436885.3750,1082009.2500,-32768,-32768,2004
00:00:36,1493.86,13.18,3.78,3276.70,0.00,13.1855,12.6889,12.9516,12.4479,36826915,1435837,1102042,36734928.0000,1436823.2500,1083228.2500,-32768,-32768,1978
00:00:38,1499.29,13.21,3.79,3276.70,0.00,13.2168,12.7209,12.9830,12.4951,36834107,1435872,1102958,36734928.0000,1436823.2500,1084466.5000,-32768,-32768,1969
00:00:41,1531.88,13.24,3.79,3276.70,0.00,13.2168,12.7683,12.9830,12.5572,36834107,1436633,1102958,36754560.0000,1436745.2500,1086873.3750,-32768,-32768,1936
00:00:43,1564.46,13.31,3.79,3276.70,0.00,13.2980,12.8297,13.0684,12.6027,36860320,1436732,1105902,36760976.0000,1436744.8750,1088042.3750,-32768,-32768,1917
00:00:45,1711.09,13.34,3.79,3276.70,0.00,13.2980,12.8744,13.0684,12.6473,36855567,1436142,1106393,36760976.0000,1436744.8750,1090273.5000,-32768,-32768,1905
00:00:47,1732.81,13.40,3.79,3276.70,0.00,13.2980,12.9195,13.1562,12.6921,36850392,1434993,1107004,36777376.0000,1436596.0000,1091300.5000,-32768,-32768,1898
00:00:50,1770.83,13.40,3.88,3276.70,0.00,13.2980,12.9495,13.1815,12.7218,36867339,1435687,1109241,36782640.0000,1436528.7500,1092921.3750,-32768,-32768,1888
00:00:51,1787.12,13.47,3.88,3276.70,0.00,13.4375,12.9791,13.2061,12.7511,36880233,1436510,1110776,36788500.0000,1436517.1250,1093479.3750,-32768,-32768,1880
00:00:53,1819.70,13.50,3.88,3276.70,0.00,13.4601,13.0083,13.2293,12.7801,36874300,1435763,1110776,36796596.0000,1436470.1250,1095127.6250,-32768,-32768,1872
00:00:55,1857.72,13.50,3.90,3276.70,0.00,13.4601,13.0513,13.2293,12.8230,36883008,1435944,1111940,36801868.0000,1436444.3750,1096155.5000,-32768,-32768,1862
00:00:57,1879.44,13.55,3.91,3276.70,0.00,13.4601,13.0796,13.2293,12.8651,36887433,1435881,1114136,36809316.0000,1436384.8750,1097709.6250,-32768,-32768,1855
00:00:58,1890.30,13.59,3.92,3276.70,0.00,13.5373,13.1074,13.3082,12.8789,36892391,1436308,1114816,36809316.0000,1436384.8750,1098783.3750,-32768,-32768,1839
00:01:01,1922.88,13.61,3.93,3276.70,0.00,13.5573,13.1074,13.3397,12.8789,36896241,1435983,1115863,36821876.0000,1436349.7500,1100222.3750,-32768,-32768,1816
00:01:03,1917.45,13.65,3.95,3276.70,0.00,13.5868,13.1074,13.3397,12.9597,36896241,1436347,1117304,36829152.0000,1436336.1250,1101731.7500,-32768,-32768,1792
00:01:04,1917.45,13.68,3.95,3276.70,0.00,13.6094,13.2137,13.3397,12.9597,36907635,1436525,1119431,36831608.0000,1436342.0000,1102284.8750,-32768,-32768,1776
00:01:05,1922.88,13.68,3.95,3276.70,0.00,13.6160,13.2262,13.3904,12.9981,36910499,1436570,1117851,36836452.0000,1436356.1250,1103255.8750,-32768,-32768,1769
00:01:07,1928.32,13.70,3.97,3276.70,0.00,13.6295,13.2508,13.4050,13.0229,36908847,1436528,1117701,36836452.0000,1436361.5000,1103255.8750,-32768,-32768,1753
00:01:08,1922.88,13.70,3.97,3276.70,0.00,13.6426,13.2863,13.4255,13.0588,36908449,1436384,1118798,36845052.0000,1436352.7500,1105361.6250,-32768,-32768,1736
00:01:10,1955.47,13.73,3.98,3276.70,0.00,13.6562,13.2979,13.4255,13.0588,36909620,1436348,1119397,36849004.0000,1436355.7500,1106210.3750,-32768,-32768,1723
00:01:13,1944.61,13.76,3.99,3276.70,0.00,13.6562,13.2979,13.4255,13.0588,36908049,1436348,1119397,36854424.0000,1436355.7500,1107814.3750,-32768,-32768,1694
00:01:14,1944.61,13.78,4.00,3276.70,0.00,13.6908,13.3536,13.4690,13.1270,36912059,1436182,1119397,36858008.0000,1436303.5000,1108600.3750,-32768,-32768,1690
00:01:18,1982.62,13.79,4.01,3276.70,0.00,13.6908,13.3853,13.4690,13.1696,36912059,1435761,1119397,36858008.0000,1436303.5000,1110788.2500,-32768,-32768,1669
00:01:20,1977.19,13.83,4.03,3276.70,0.00,13.7400,13.4263,13.5185,13.1696,36911599,1435366,1126327,36867348.0000,1436212.8750,1111790.3750,-32768,-32768,1660
00:01:23,2004.34,13.84,4.05,3276.70,0.00,13.7400,13.4560,13.5185,13.2307,36911599,1435308,1122580,36867348.0000,1436212.8750,1111790.3750,-32768,-32768,1648
00:01:25,2004.34,13.88,4.06,3276.70,0.00,13.7902,13.4947,13.5689,13.2698,36921977,1435735,1123909,36877272.0000,1436089.1250,1113492.3750,-32768,-32768,1643
00:01:26,2004.34,13.89,4.08,3276.70,0.00,13.7962,13.5041,13.5748,13.2793,36924838,1435957,1123909,36880192.0000,1436080.7500,1114169.8750,-32768,-32768,1637
00:01:29,1998.91,13.91,4.08,3276.70,0.00,13.8123,13.5316,13.5921,13.3072,36925387,1435957,1117948,36882936.0000,1436078.2500,1114169.8750,-32768,-32768,1630
00:01:32,1998.91,13.92,4.08,3276.70,0.00,13.8123,13.5580,13.5921,13.3427,36925701,1435865,1119775,36887996.0000,1436041.5000,1114169.8750,-32768,-32768,1622
00:01:33,1998.91,13.94,4.09,3276.70,0.00,13.8373,13.5580,13.6244,13.3427,36924479,1435621,1125791,36891344.0000,1436012.6250,1116305.7500,-32768,-32768,1616
00:01:36,1998.91,13.96,4.10,3276.70,0.00,13.8373,13.6077,13.6244,13.3930,36925780,1435553,1124913,36894456.0000,1435968.1250,1117120.0000,-32768,-32768,1607
00:01:38,1998.91,13.98,4.12,3276.70,0.00,13.8373,13.6313,13.6566,13.4090,36925910,1435401,1126921,36896340.0000,1435934.7500,1117120.0000,-32768,-32768,1600
00:01:39,1998.91,13.99,4.12,3276.70,0.00,13.8829,13.6466,13.6671,13.4247,36926587,1435138,1129143,36898232.0000,1435889.3750,1118358.8750,-32768,-32768,1597
00:01:40,1998.91,14.00,4.12,3276.70,0.00,13.8881,13.6541,13.6721,13.4324,36926913,1435222,1130110,36899128.0000,1435868.5000,1118726.1250,-32768,-32768,1591
00:01:42,1998.91,14.00,4.13,3276.70,0.00,13.8932,13.6616,13.6824,13.4324,36926913,1435185,1127866,36900848.0000,1435829.7500,1119273.7500,-32768,-32768,1589
00:01:45,1998.91,14.02,4.13,3276.70,0.00,13.8932,13.6835,13.6824,13.4698,36926913,1435114,1128628,36904064.0000,1435737.3750,1120592.5000,-32768,-32768,1589
