elapsed_time,mpx5500_pressure_hpa,rh_temp_c,humidity_pct,k96_pressure_hpa,k96_pressure_filtered_hpa,ntc0_temp_c,ntc0_temp_filtered_c,ntc1_temp_c,ntc1_temp_filtered_c,lpl_signal,mpl_signal,spl_signal,lpl_signal_filtered,mpl_signal_filtered,spl_signal_filtered,mpl_conc,lpl_conc,spl_conc
00:00:02,-10.43,27.70,0.00,0.00,0.00,27.3337,27.2987,27.0918,27.0567,38684679,0,0,38679408.0000,1434002.7500,1802549.8750,-69,-32768,-108
00:00:05,-10.43,27.70,7.33,0.00,0.00,27.3337,27.3009,27.0935,27.0589,38684876,1431019,0,38679912.0000,1433739.0000,1802762.7500,-69,-32768,-108
00:00:07,-10.43,27.70,7.36,1001.70,0.00,27.3387,27.3041,27.0964,27.0622,38683872,1430909,1805403,38680208.0000,1433739.0000,1802991.6250,-69,-32768,-108
00:00:09,-21.29,27.70,7.40,1001.70,0.00,27.3413,27.3074,27.0992,27.0654,38684840,1430638,1805035,38680640.0000,1433739.0000,1803119.7500,-69,-32768,-108
00:00:10,-21.29,27.70,7.43,1001.70,0.00,27.3433,27.3095,27.1013,27.0675,38683992,1430435,1804955,38680880.0000,1433138.0000,1803228.2500,-69,-32768,-108
00:00:12,-15.86,27.71,7.43,1001.70,0.00,27.3454,27.3116,27.1031,27.0696,38684933,1430369,1806443,38681136.0000,1433138.0000,1803393.5000,-69,-32768,-108
00:00:14,-15.86,27.71,7.45,1001.70,0.00,27.3454,27.3137,27.1031,27.0728,38685113,1430186,1806443,38681512.0000,1432719.5000,1803661.5000,-69,-32768,-108
00:00:18,-21.29,27.72,7.45,1001.70,0.00,27.3454,27.3169,27.1031,27.0760,38685113,1429868,1806443,38682072.0000,1432390.8750,1803661.5000,-69,-32768,-108
00:00:19,-10.43,27.72,7.53,1001.60,0.00,27.3536,27.3211,27.1116,27.0791,38685125,1429557,1806605,38682292.0000,1432222.6250,1804088.1250,-69,-32768,-108
00:00:21,-21.29,27.73,7.54,1001.60,0.00,27.3555,27.3232,27.1134,27.0811,38684331,1429406,1806081,38682432.0000,1432053.2500,1804218.3750,-69,-32768,-108
00:00:24,-15.86,27.73,7.57,1001.60,0.00,27.3575,27.3232,27.1163,27.0811,38687162,1429406,1806081,38682936.0000,1431719.1250,1804475.2500,-69,-32768,-108
00:00:27,-15.86,27.73,7.58,1001.60,0.00,27.3575,27.3293,27.1163,27.0882,38687162,1428855,1806718,38683348.0000,1431390.2500,1804684.6250,-69,-32768,-108
00:00:30,-15.86,27.74,7.62,1001.50,0.00,27.3642,27.3323,27.1223,27.0882,38687162,1428695,1806718,38683564.0000,1431390.2500,1804913.0000,-69,-32768,-108
00:00:31,-15.86,27.74,7.62,1001.50,0.00,27.3677,27.3363,27.1257,27.0943,38687748,1428546,1807046,38683812.0000,1430983.6250,1805041.1250,-69,-32768,-108
00:00:34,-15.86,27.75,7.68,1001.50,0.00,27.3677,27.3384,27.1257,27.0974,38687748,1426582,1805776,38683328.0000,1430519.8750,1805166.5000,-69,-32768,-108
00:00:36,-5.00,27.74,7.79,1009.40,0.00,27.3688,27.3412,27.1380,27.0974,38687748,1424049,1805776,38680208.0000,1430144.1250,1805126.7500,-69,-32768,-108
00:00:38,5.87,27.73,7.84,1013.00,0.00,27.3694,27.3429,27.1411,27.1023,38687748,1423045,1803432,38677308.0000,1429723.1250,1805041.6250,-69,-32768,-108
00:00:42,11.30,27.71,7.84,1020.40,0.00,27.3694,27.3471,27.1411,27.1075,38687748,1421253,1803432,38668240.0000,1429723.1250,1804744.7500,-69,-32768,-108
00:00:43,27.59,27.71,7.99,1037.00,0.00,27.4028,27.3529,27.1647,27.1136,38599332,1420007,1803271,38664116.0000,1428024.5000,1804686.8750,-69,-32768,-108
00:00:46,60.17,27.63,7.99,1040.50,0.00,27.4107,27.3529,27.1717,27.1136,38590933,1420007,1803271,38664116.0000,1428024.5000,1804600.8750,-69,-32768,-108
00:00:48,49.31,27.63,8.09,1054.70,0.00,27.4214,27.3636,27.1717,27.1136,38581353,1417524,1802421,38650968.0000,1426383.6250,1804508.5000,-69,-32768,-108
00:00:49,71.03,27.55,8.09,3276.70,0.00,27.4248,27.3673,27.1876,27.1282,38575621,1416887,1803421,38646460.0000,1425812.8750,1804430.6250,-69,-32768,-108
00:00:51,76.46,27.52,8.21,3276.70,0.00,27.4264,27.3691,27.1896,27.1282,38570039,1416887,1803404,38641792.0000,1425221.7500,1804374.7500,-69,-32768,-108
00:00:54,119.91,27.49,8.26,3276.70,0.00,27.4264,27.3745,27.1896,27.1376,38562631,1414674,1803755,38634792.0000,1424307.2500,1804315.2500,-69,-32768,-108
00:00:55,130.77,27.46,8.38,3276.70,0.00,27.4325,27.3780,27.1970,27.1376,38560316,1413377,1803009,38630216.0000,1424307.2500,1804315.2500,-69,-32768,-108
00:00:57,136.20,27.43,8.51,3276.70,0.00,27.4424,27.3834,27.2050,27.1451,38557310,1411061,1802990,38625808.0000,1422918.3750,1804179.5000,-69,-32768,-108
00:00:58,190.51,27.40,8.73,3276.70,0.00,27.4473,27.3854,27.2088,27.1471,38557459,1409921,1802796,38623672.0000,1422512.1250,1804179.5000,-69,-32768,-108
00:00:59,190.51,27.38,9.00,3276.70,0.00,27.4559,27.3895,27.2157,27.1512,38555365,1406997,1803793,38619464.0000,1421606.6250,1804105.6250,-69,-32768,-108
00:01:01,255.68,27.37,9.12,3276.70,0.00,27.4605,27.3917,27.2194,27.1533,38553958,1405391,1803793,38619464.0000,1421606.6250,1804105.6250,-69,-32768,-108
00:01:03,255.68,27.35,9.43,3276.70,0.00,27.4708,27.3986,27.2287,27.1598,38551696,1400533,1803581,38611632.0000,1421606.6250,1804174.3750,-69,-32768,-108
00:01:05,288.26,27.35,9.98,3276.70,0.00,27.4736,27.4052,27.2357,27.1665,38543873,1394403,1804429,38605700.0000,1421606.6250,1804189.5000,-69,-32768,-108
00:01:08,364.29,27.29,9.98,3276.70,0.00,27.4736,27.4111,27.2389,27.1729,38540130,1388264,1803174,38605700.0000,1414820.8750,1804140.0000,-69,-32768,-108
00:01:11,396.87,27.25,11.17,3276.70,0.00,27.4736,27.4166,27.2389,27.1808,38540130,1381520,1803075,38592272.0000,1410197.0000,1804016.1250,-69,-32768,-108
00:01:14,429.46,27.21,11.80,3276.70,0.00,27.4736,27.4232,27.2389,27.1878,38532662,1374313,1803091,38585056.0000,1407110.3750,1804016.1250,-69,-32768,-108
00:01:15,483.76,27.18,12.30,3276.70,0.00,27.4683,27.4273,27.2373,27.1878,38524402,1370571,1801803,38581404.0000,1404915.5000,1803795.6250,-69,-32768,-108
00:01:16,478.33,27.15,12.71,3276.70,0.00,27.4630,27.4284,27.2361,27.1923,38527339,1368904,1802545,38579716.0000,1403790.1250,1803756.5000,-69,-32768,-108
00:01:18,521.78,27.14,12.89,3276.70,0.00,27.4624,27.4294,27.2346,27.1948,38525514,1365297,1801119,38576352.0000,1401477.2500,1803611.1250,-69,-32768,-108
00:01:19,538.07,27.12,13.22,3276.70,0.00,27.4597,27.4313,27.2316,27.1959,38524782,1363693,1801464,38574744.0000,1400296.5000,1803544.0000,-69,-32768,-108
00:01:20,527.21,27.11,13.40,3276.70,0.00,27.4581,27.4321,27.2296,27.1979,38515301,1360382,1801073,38571176.0000,1397890.7500,1803404.0000,-69,-32768,-108
00:01:21,565.22,27.09,13.66,3276.70,0.00,27.4562,27.4321,27.2296,27.1987,38513910,1359126,1800240,38569384.0000,1396679.3750,1803305.1250,-69,-32768,-108
00:01:22,592.38,27.09,14.01,3276.70,0.00,27.4535,27.4348,27.2230,27.2002,38514254,1356343,1801457,38565940.0000,1394242.2500,1803151.7500,-69,-32768,-108
00:01:25,603.24,27.06,14.14,3276.70,0.00,27.4535,27.4357,27.2230,27.2020,38505410,1351320,1800092,38560816.0000,1390477.5000,1802917.8750,-69,-32768,-108
00:01:27,630.39,27.04,14.59,3276.70,0.00,27.4465,27.4368,27.2153,27.2020,38505410,1349177,1799973,38557360.0000,1387973.1250,1802733.5000,-69,-32768,-108
00:01:28,679.27,27.01,15.05,3276.70,0.00,27.4418,27.4371,27.2108,27.2034,38500934,1346226,1799973,38552140.0000,1384183.0000,1802449.6250,-69,-32768,-108
00:01:30,690.13,27.00,15.19,3276.70,0.00,27.4379,27.4372,27.2059,27.2034,38497902,1342480,1798321,38548836.0000,1381657.1250,1802197.0000,-69,-32768,-108
00:01:32,700.99,26.97,15.58,3276.70,0.00,27.4324,27.4370,27.2014,27.2034,38493708,1340032,1798083,38545524.0000,1379135.1250,1801968.8750,-69,-32768,-108
00:01:33,717.28,26.96,15.75,3276.70,0.00,27.4245,27.4363,27.1943,27.2030,38492338,1340032,1798094,38543860.0000,1377871.5000,1801968.8750,-69,-32768,-108
00:01:35,744.43,26.93,16.09,3276.70,0.00,27.4135,27.4350,27.1863,27.2020,38488649,1336308,1798094,38543860.0000,1374104.7500,1801456.0000,-69,-32768,-108
00:01:37,771.59,26.92,16.38,3276.70,0.00,27.3998,27.4350,27.1745,27.2020,38481019,1333055,1794736,38535592.0000,1370378.2500,1800878.3750,-69,-32768,-108
00:01:39,809.60,26.90,16.38,3276.70,0.00,27.3878,27.4293,27.1649,27.1978,38481579,1331060,1794736,38530676.0000,1367923.8750,1800477.0000,-69,-32768,-108
00:01:41,831.32,26.88,17.01,3276.70,0.00,27.3792,27.4263,27.1555,27.1978,38480164,1329074,1793843,38529096.0000,1365510.0000,1800030.3750,-69,-32768,-108
00:01:43,847.62,26.86,17.23,3276.70,0.00,27.3716,27.4263,27.1439,27.1978,38479514,1325520,1794853,38524440.0000,1363093.7500,1799702.7500,-69,-32768,-108
00:01:45,880.20,26.86,17.58,3276.70,0.00,27.3716,27.4175,27.1439,27.1857,38469447,1321884,1792969,38519532.0000,1359440.8750,1799702.7500,-69,-32768,-108
00:01:47,896.49,26.81,17.94,3276.70,0.00,27.3421,27.4111,27.1160,27.1857,38470993,1321884,1792969,38514924.0000,1355855.2500,1798428.0000,-69,-32768,-108
00:01:50,912.78,26.80,18.11,3276.70,0.00,27.3421,27.4037,27.1160,27.1722,38463962,1316628,1790255,38510344.0000,1352350.1250,1797676.0000,-69,-32768,-108
